Gloss,Proto-Seediq,Tgdaya,Proto-Toda-Truku,Central Toda,Proto-Truku,Central Truku,Eastern Truku 
`\textsc{1pl.excl}',*yami,yami,*yami,yami,*yami,yami,yami
`\textsc{1pl.incl}',*ita,ita,*ita,ita,*ita,ita,ita
`\textsc{1pl.nom.excl; 1pl.gen.excl}',*=nami,=nami,*=nami,=nami,*=nami,=nami,=nami
`\textsc{1pl.nom.incl; 1pl.gen.incl}',*=ta,=ta,*=ta,=ta,*=ta,=ta,=ta
`\textsc{1pl.obl.excl}',*mənan,,*mənan,mənan,*mənan,mənan,mənan
`\textsc{1pl.obl.incl}',*tənan,,*tənan,tənan,*tənan,tənan,tənan
`\textsc{1sg.gen}',*=mu,=mu,*=mu,=mu,*=mu,=mu,=mu
`\textsc{1sg.nom}',*=ku,=ku,*=ku,=ku,*=ku,=ku,=ku
`\textsc{1sg.nom}',*yaku,yaku,*yaku,yaku,*yaku,yaku,yaku
`\textsc{1sg.obl}',*kənan,kenan,*kənan,kənan,*kənan,kənan,kənan
`\textsc{2pl.nom; 2pl.gen}',*=namu,=namu,*=namu,=namu,*=namu,=namu,=namu
`\textsc{2pl.nom}',*yamu,yamu,*yamu,yamu,*yamu,yamu,yamu
`\textsc{2pl.obl}',*munan,munan `1sg.obl',*munan,munan,*munan,munan,munan
`\textsc{2sg.nom; 2sg.gen}',*=su,=su,*=su,=su,*=su,=su,=su
`\textsc{2sg.nom}',*isu,isu,*isu,isu,*isu,isu,isu
`\textsc{2sg.obl}',*sunan,sunan,*sunan,sunan,*sunan,sunan,sunan
`\textsc{3pl.gen}',*=dəha,=daha,*=dəha,=dəha,*=dəha,=dəha,=dəha
`\textsc{3pl.nom}',*dəhəya,deheya,*dəhiya,dəhiya,*dəhiya,dəhiya,dəhiya
`\textsc{3pl.obl}',*dəhəyaan,,*dəhəyaan,dəhəyaan,*dəhəyaan,dəhəyaan,dəhəyaan
`\textsc{3sg.gen}',*=na,=na,*=na,=na,*=na,=na,=na
`\textsc{3sg.nom}',*hiya,heya,*hiya,hiya,*hiya,hiya,hiya
`\textsc{3sg.obl}',*həyaan,,*həyaan,həyaan,*həyaan,həyaan,həyaan
`a bit; a little',*tikuh,tikuh,*tikuh,tikuh,*cikuh,cikuh,
`a few; some',*duma,duma,*duma,duma,*duma,duma,duma
`a long time',*bəsiyaq,busiyaq,*bəsiyaq,bəsiyaq,*bəsiyaq,bəsiyaq,bəsiyaq
`above; on top of',*babaw,bobo,*babaw,babaw,*babaw,babaw,babaw
`above; on top of',*baraw,baro,*baraw,baraw,*baraw,baraw,baraw
`alive',*məudus,muudus,*məudus,mudus,*məudus,mudus,məudus
`all',*kana,kana,*kana,kana,*kana,kana,kana
`Alocasia',*bərayaw,burayo,*bərayaw,bərayaw,*bərayaw,bərayaw,bərayaw
`alone; only; self',*nanak,nanaq,*nanak,nanak; nanaq,*nanak,nanaq,nanak
`animal foot',*papak,papak,*papak,papak,*papak,papak,papak
`animal trail',*tuqir,tuqin,*tuqir,tuqar,*tuqir,tuqir,tuqir
`animal; wild game',*camat,camac,*camat,camac,*samat,samac,samat
`arrow',*raqit,raqic,*raqit,raqic,,,
`ashes',*qəbulit,qubulic,*qəbulit,qəbulic,*qəbulit,qəbulic,qəbulit
`assorted; many kinds of',*ləməlamu,mululamu,*ləməlamu,ləməlamu,*mələlamu,mələlamu,ləməlamu
`axe',*puru,puru,*puru,puru,*pupu,pupu,pupu
`bad',*naqih,naqah,*naqih,naqah,*naqih,naqih,naqih
`bamboo shoots',*ləxi,lexi,*ləxi,ləxi,*ləxi,ləxi,ləxi
`bamboo tool for removing bark for ramie',*gəsak,gesak,*gəsak,usak,*gəsak,gisak,gəsak
`banana',*bələbul,bulebun,*bələbul,bələbul,*bələbul,bələbul,bələbul
`basket',*rawa,rawa,*rawa,rawa,*rawa,rawa,rawa
`beans',*bayluh,beluh,*bayluh,beyluh,*bayluh,beyluh,beyluh
`bear',*sumay,sume,*kumay,kumay,*kumay,kumay,kumay
`beard; facial hair',*ŋudus,ŋudus,*ŋudus,,*ŋudus,,ŋudus
`belly',*nəbuyas,nubuyas,*nəbuyas,nəbuyas,*nəbuyas,buyas,nəbuyas
`between',*cəkəcəka,cukuceka,*cəkəcəka,cəkəcəka,*səka,səka,səka
`big',*paru,paru,*paru,paru,*paru,paru,paru
`bird',*qəbəhəni,qubeheni,*qəbəhəni,qəbəhəni,*qəbəhəni,qəbəhəni,qəbəhəni
`bird',,,*qəduda,qəduda,*qəduda,qəduda,
`black',*məqalux,muqalux,*məqalux,məqalux,*məqalux,məqalux,məqalux
`blind',*məpudu,mubudu,*məpudu,məpudu,*məpudu,məpudu,(məətuŋ)
`blood',*dara,dara,*dara,dara,*dara,dara,dara
`blowfly',*raŋaw,ruŋedi raŋo,*raŋaw,raŋaw,,,
`boar',*bawyak,boyak,*bawyak,bowyak,*bawyak,bowyak,bowyak
`board; plank',*qətinuh,qutinuh,*qətinuh,qətinuh,*qəcinuh,qəcinuh,qəcinuh
`body louse',*cumiq,cumiq,*cumiq,,*sumiq,,sumiq
`bone',*buut,buuc,*buut,,*buut,,buut
